A,k,func_values
3.7e-06,471.23892,10059.939
3.7e-06,628.31854,9996.268
3.7e-06,785.3982,9932.504
3.7e-06,942.47784,9904.789
3.7e-06,1099.5575,9904.552
3.7e-06,1256.6371,9926.292
3.7e-06,1413.7167,9962.259
3.7e-06,1570.7964,9998.892
3.7e-06,1727.8761,10026.347
3.7e-06,1884.9557,10037.684
3.7e-06,2042.0353,10035.37
3.7e-06,2199.115,10021.202
3.7e-06,2356.1946,10004.626
3.7e-06,2513.2742,9990.78
3.7999998e-06,157.07964,10195.32
3.7999998e-06,314.15927,10141.08
3.7999998e-06,471.23892,10063.422
3.7999998e-06,628.31854,9995.113
3.7999998e-06,785.3982,9931.203
3.7999998e-06,942.47784,9902.421
3.7999998e-06,1099.5575,9902.152
3.7999998e-06,1256.6371,9924.789
3.7999998e-06,1413.7167,9960.752
3.7999998e-06,1570.7964,9999.149
3.7999998e-06,1727.8761,10027.308
3.7999998e-06,1884.9557,10038.9795
3.7999998e-06,2042.0353,10036.407
3.7999998e-06,2199.115,10021.7295
3.7999998e-06,2356.1946,10004.769
3.7999998e-06,2513.2742,9990.25
3.9e-06,157.07964,10200.936
3.9e-06,314.15927,10144.636
3.9e-06,471.23892,10066.333
3.9e-06,628.31854,9993.843
3.9e-06,785.3982,9930.065
3.9e-06,942.47784,9900.255
3.9e-06,1099.5575,9899.71
3.9e-06,1256.6371,9923.282
3.9e-06,1413.7167,9959.74
3.9e-06,1570.7964,9999.323
3.9e-06,1727.8761,10028.3
3.9e-06,1884.9557,10040.229
3.9e-06,2042.0353,10036.126
3.9e-06,2199.115,10021.343
3.9e-06,2356.1946,10004.851
3.9e-06,2513.2742,9990.031
4e-06,157.07964,10205.95
4e-06,314.15927,10148.362
4e-06,471.23892,10068.934
4e-06,628.31854,9992.904
4e-06,785.3982,9928.698
4e-06,942.47784,9898.023
4e-06,1099.5575,9897.243
4e-06,1256.6371,9921.499
4e-06,1413.7167,9958.819
4e-06,1570.7964,9999.702
4e-06,1727.8761,10029.228
4e-06,1884.9557,10041.248
4e-06,2042.0353,10037.096
4e-06,2199.115,10021.873
4e-06,2356.1946,10004.94
4e-06,2513.2742,9989.669
4.1e-06,157.07964,10211.827
4.1e-06,314.15927,10152.567
4.1e-06,471.23892,10070.827
4.1e-06,628.31854,9991.883
4.1e-06,785.3982,9927.479
4.1e-06,942.47784,9895.46
4.1e-06,1099.5575,9895.208
4.1e-06,1256.6371,9919.948
4.1e-06,1413.7167,9958.399
4.1e-06,1570.7964,9999.181
4.1e-06,1727.8761,10030.329
4.1e-06,1884.9557,10042.415
4.1e-06,2042.0353,10038.038
4.1e-06,2199.115,10022.523
4.1e-06,2356.1946,10005.153
4.1e-06,2513.2742,9989.539
4.1999997e-06,157.07964,10216.9795
4.1999997e-06,314.15927,10156.7705
4.1999997e-06,471.23892,10073.08
4.1999997e-06,628.31854,9991.068
4.1999997e-06,785.3982,9926.486
4.1999997e-06,942.47784,9893.184
4.1999997e-06,1099.5575,9892.838
4.1999997e-06,1256.6371,9918.484
4.1999997e-06,1413.7167,9957.719
4.1999997e-06,1570.7964,9999.095
4.1999997e-06,1727.8761,10031.406
4.1999997e-06,1884.9557,10043.628
4.1999997e-06,2042.0353,10039.143
4.1999997e-06,2199.115,10023.226
4.1999997e-06,2356.1946,10005.3
4.1999997e-06,2513.2742,9989.371
4.3e-06,157.07964,10222.883
4.3e-06,314.15927,10159.999
4.3e-06,471.23892,10075.22
4.3e-06,628.31854,9990.468
4.3e-06,785.3982,9925.489
4.3e-06,942.47784,9890.788
4.3e-06,1099.5575,9890.578
4.3e-06,1256.6371,9917.186
4.3e-06,1413.7167,9957.601
4.3e-06,1570.7964,9999.263
4.3e-06,1727.8761,10032.417
4.3e-06,1884.9557,10044.8545
4.3e-06,2042.0353,10039.911
4.3e-06,2199.115,10024.013
4.3e-06,2356.1946,10005.2
4.3e-06,2513.2742,9989.353
4.4e-06,157.07964,10228.085
4.4e-06,314.15927,10163.789
4.4e-06,471.23892,10077.195
4.4e-06,628.31854,9989.79
4.4e-06,785.3982,9924.387
4.4e-06,942.47784,9888.525
4.4e-06,1099.5575,9887.847
4.4e-06,1256.6371,9915.549
4.4e-06,1413.7167,9957.567
4.4e-06,1570.7964,9999.391
4.4e-06,1727.8761,10033.433
4.4e-06,1884.9557,10045.889
4.4e-06,2042.0353,10040.763
4.4e-06,2199.115,10024.623
4.4e-06,2356.1946,10005.234
4.4e-06,2513.2742,9989.22
4.5e-06,157.07964,10233.545
4.5e-06,314.15927,10167.498
4.5e-06,471.23892,10080.812
4.5e-06,628.31854,9989.479
4.5e-06,785.3982,9923.507
4.5e-06,942.47784,9886.484
4.5e-06,1099.5575,9885.526
4.5e-06,1256.6371,9914.108
4.5e-06,1413.7167,9956.921
4.5e-06,1570.7964,9999.92
4.5e-06,1727.8761,10034.168
4.5e-06,1884.9557,10046.913
4.5e-06,2042.0353,10041.703
4.5e-06,2199.115,10025.269
4.5e-06,2356.1946,10005.37
4.5e-06,2513.2742,9989.128
4.6e-06,157.07964,10238.83
4.6e-06,314.15927,10171.252
4.6e-06,471.23892,10083.229
4.6e-06,628.31854,9988.531
4.6e-06,785.3982,9922.625
4.6e-06,942.47784,9884.05
4.6e-06,1099.5575,9883.485
4.6e-06,1256.6371,9913.054
4.6e-06,1413.7167,9956.446
4.6e-06,1570.7964,10000.598
4.6e-06,1727.8761,10034.515
4.6e-06,1884.9557,10047.813
4.6e-06,2042.0353,10042.641
4.6e-06,2199.115,10025.701
4.6e-06,2356.1946,10005.466
4.6e-06,2513.2742,9988.882
4.7e-06,157.07964,10244.037
4.7e-06,314.15927,10175.944
4.7e-06,471.23892,10086.163
4.7e-06,628.31854,9988.033
4.7e-06,785.3982,9920.703
4.7e-06,942.47784,9882.392
4.7e-06,1099.5575,9881.155
4.7e-06,1256.6371,9911.781
4.7e-06,1413.7167,9955.884
4.7e-06,1570.7964,10000.908
4.7e-06,1727.8761,10035.397
4.7e-06,1884.9557,10048.84
4.7e-06,2042.0353,10043.524
4.7e-06,2199.115,10026.237
4.7e-06,2356.1946,10005.56
4.7e-06,2513.2742,9988.628
4.8e-06,157.07964,10249.516
4.8e-06,314.15927,10180.064
4.8e-06,471.23892,10088.716
4.8e-06,628.31854,9987.476
4.8e-06,785.3982,9918.046
4.8e-06,942.47784,9880.295
4.8e-06,1099.5575,9878.515
4.8e-06,1256.6371,9910.21
4.8e-06,1413.7167,9955.236
4.8e-06,1570.7964,10001.308
4.8e-06,1727.8761,10036.433
4.8e-06,1884.9557,10049.899
4.8e-06,2042.0353,10044.54
4.8e-06,2199.115,10026.731
4.8e-06,2356.1946,10005.745
4.8e-06,2513.2742,9988.434
4.9e-06,157.07964,10255.089
4.9e-06,314.15927,10184.059
4.9e-06,471.23892,10090.08
4.9e-06,628.31854,9987.21
4.9e-06,785.3982,9915.958
4.9e-06,942.47784,9877.971
4.9e-06,1099.5575,9875.923
4.9e-06,1256.6371,9908.643
4.9e-06,1413.7167,9954.601
4.9e-06,1570.7964,10001.928
4.9e-06,1727.8761,10037.327
4.9e-06,1884.9557,10050.939
4.9e-06,2042.0353,10045.414
4.9e-06,2199.115,10027.273
4.9e-06,2356.1946,10005.846
4.9e-06,2513.2742,9988.275
5e-06,157.07964,10260.53
5e-06,314.15927,10188.048
5e-06,471.23892,10092.589
5e-06,628.31854,9986.827
5e-06,785.3982,9914.319
5e-06,942.47784,9875.844
5e-06,1099.5575,9873.591
5e-06,1256.6371,9907.339
5e-06,1413.7167,9954.05
5e-06,1570.7964,10002.533
5e-06,1727.8761,10038.523
5e-06,1884.9557,10052.314
5e-06,2042.0353,10046.193
5e-06,2199.115,10027.889
5e-06,2356.1946,10006.112
5e-06,2513.2742,9988.08
1e-05,157.07964,10537.448
1e-05,314.15927,10390.111
1e-05,471.23892,10190.37
1e-05,628.31854,9992.82
1e-05,785.3982,9835.453
