A,k,func_values
0.00045000002,942.47784,2932.9297
0.00045000002,1099.5575,3454.765
0.00045000002,1256.6371,5514.43
0.00045000002,1413.7167,9026.906
0.00045000002,1570.7964,13153.944
0.00045000002,1727.8761,16326.616
0.00045000002,1884.9557,17343.533
0.00045000002,2042.0353,16173.905
0.00045000002,2199.115,13808.861
0.00045000002,2356.1946,11420.592
0.00045000002,2513.2742,9755.797
0.00046000004,157.07964,53169.355
0.00046000004,314.15927,38390.355
0.00046000004,471.23892,22063.67
0.00046000004,628.31854,10253.993
0.00046000004,785.3982,4470.121
0.00046000004,942.47784,2856.4724
0.00046000004,1099.5575,3400.923
0.00046000004,1256.6371,5487.439
0.00046000004,1413.7167,9054.824
0.00046000004,1570.7964,13265.294
0.00046000004,1727.8761,16510.068
0.00046000004,1884.9557,17545.557
0.00046000004,2042.0353,16337.714
0.00046000004,2199.115,13905.894
0.00046000004,2356.1946,11455.607
0.00046000004,2513.2742,9752.147
0.00047000003,157.07964,54520.188
0.00047000003,314.15927,39211.668
0.00047000003,471.23892,22401.086
0.00047000003,628.31854,10265.7
0.00047000003,785.3982,4384.98
0.00047000003,942.47784,2784.8162
0.00047000003,1099.5575,3349.531
0.00047000003,1256.6371,5462.07
0.00047000003,1413.7167,9084.491
0.00047000003,1570.7964,13379.822
0.00047000003,1727.8761,16696.646
0.00047000003,1884.9557,17750.14
0.00047000003,2042.0353,16501.795
0.00047000003,2199.115,14004.007
0.00047000003,2356.1946,11491.249
0.00047000003,2513.2742,9748.038
0.00048000002,157.07964,55872.01
0.00048000002,314.15927,40066.867
0.00048000002,471.23892,22734.285
0.00048000002,628.31854,10277.378
0.00048000002,785.3982,4301.4707
0.00048000002,942.47784,2719.7456
0.00048000002,1099.5575,3305.9094
0.00048000002,1256.6371,5441.54
0.00048000002,1413.7167,9116.968
0.00048000002,1570.7964,13496.31
0.00048000002,1727.8761,16885.865
0.00048000002,1884.9557,17956.72
0.00048000002,2042.0353,16666.771
0.00048000002,2199.115,14100.992
0.00048000002,2356.1946,11526.776
0.00048000002,2513.2742,9744.336
0.00049,157.07964,57242.12
0.00049,314.15927,40943.766
0.00049,471.23892,23055.605
0.00049,628.31854,10288.698
0.00049,785.3982,4221.725
0.00049,942.47784,2653.4312
0.00049,1099.5575,3265.711
0.00049,1256.6371,5421.0215
0.00049,1413.7167,9152.8545
0.00049,1570.7964,13617.643
0.00049,1727.8761,17079.23
0.00049,1884.9557,18165.137
0.00049,2042.0353,16835.223
0.00049,2199.115,14199.214
0.00049,2356.1946,11562.157
0.00049,2513.2742,9741.441
0.0005,157.07964,58636.05
0.0005,314.15927,41799.688
0.0005,471.23892,23390.78
